time,lat,lon,AL-BB-DH,AL-BB-DH-ERR,quality_flag
2008-06-10,47.5,5.0,0.1871,0.0032,5.0
2008-06-10,47.5,5.050003,0.2002,0.0034,5.0
2008-06-10,47.5,5.0999985,0.1948,0.0033,5.0
2008-06-10,47.5,5.1500015,0.1934,0.0032,5.0
2008-06-10,47.5,5.2000046,0.1905,0.0031,5.0
2008-06-10,47.5,5.25,0.1868,0.003,5.0
2008-06-10,47.5,5.300003,0.1842,0.0029,5.0
2008-06-10,47.5,5.3499985,0.1905,0.003,5.0
2008-06-10,47.5,5.4000015,0.1866,0.003,5.0
2008-06-10,47.5,5.4500046,0.1778,0.0029,5.0
2008-06-10,47.5,5.5,0.1803,0.0029,5.0
2008-06-10,47.5,5.550003,0.1799,0.0029,5.0
2008-06-10,47.5,5.5999985,0.184,0.0031,5.0
2008-06-10,47.5,5.6500015,0.1803,0.003,5.0
2008-06-10,47.5,5.7000046,0.1772,0.003,5.0
2008-06-10,47.5,5.75,0.1823,0.003,5.0
2008-06-10,47.5,5.800003,0.1787,0.003,5.0
2008-06-10,47.5,5.8499985,0.1885,0.0031,5.0
2008-06-10,47.5,5.9000015,0.1852,0.0031,5.0
2008-06-10,47.5,5.9500046,0.1889,0.0032,5.0
2008-06-10,47.5,6.0,0.1807,0.0031,5.0
2008-06-10,47.5,6.050003,0.1759,0.003,5.0
2008-06-10,47.5,6.0999985,0.1804,0.003,5.0
2008-06-10,47.5,6.1500015,0.1724,0.0029,5.0
2008-06-10,47.5,6.2000046,0.1785,0.003,5.0
2008-06-10,47.5,6.25,0.1833,0.003,5.0
2008-06-10,47.5,6.300003,0.1826,0.003,5.0
2008-06-10,47.5,6.3499985,0.1832,0.003,5.0
2008-06-10,47.5,6.4000015,0.182,0.003,5.0
2008-06-10,47.5,6.4500046,0.1784,0.003,5.0
2008-06-10,47.5,6.5,0.1779,0.0029,5.0
2008-06-10,47.5,6.550003,0.1735,0.0029,5.0
2008-06-10,47.5,6.5999985,0.1687,0.0028,5.0
2008-06-10,47.5,6.6500015,0.1705,0.0028,5.0
2008-06-10,47.5,6.7000046,0.1691,0.0027,5.0
2008-06-10,47.5,6.75,0.1656,0.0027,5.0
2008-06-10,47.5,6.800003,0.1533,0.0026,5.0
2008-06-10,47.5,6.8499985,0.1552,0.0026,5.0
2008-06-10,47.5,6.9000015,0.1619,0.0028,5.0
2008-06-10,47.5,6.9500046,0.1754,0.0029,5.0
2008-06-10,47.5,7.0,0.1802,0.003,5.0
2008-06-10,47.5,7.050003,0.1782,0.003,5.0
2008-06-10,47.5,7.0999985,0.1836,0.0031,5.0
2008-06-10,47.5,7.1500015,0.1805,0.003,5.0
2008-06-10,47.5,7.2000046,0.169,0.0029,5.0
2008-06-10,47.5,7.25,0.1733,0.003,5.0
2008-06-10,47.5,7.300003,0.1706,0.003,5.0
2008-06-10,47.5,7.3499985,0.1793,0.0031,5.0
2008-06-10,47.5,7.4000015,0.1789,0.003,5.0
2008-06-10,47.5,7.4500046,0.1783,0.0029,5.0
2008-06-10,47.5,7.5,0.1772,0.003,5.0
2008-06-10,47.5,7.550003,0.1546,0.0027,5.0
2008-06-10,47.5,7.5999985,0.1451,0.0027,5.0
2008-06-10,47.5,7.6500015,0.1663,0.0028,5.0
2008-06-10,47.5,7.7000046,0.1683,0.0028,5.0
2008-06-10,47.5,7.75,0.1625,0.0028,5.0
2008-06-10,47.5,7.800003,0.1622,0.0028,5.0
2008-06-10,47.5,7.8499985,0.1662,0.0028,5.0
2008-06-10,47.5,7.9000015,0.1696,0.0028,5.0
2008-06-10,47.5,7.9500046,0.1739,0.0028,5.0
2008-06-10,47.5,8.0,0.1774,0.0028,5.0
2008-06-10,47.5,8.050003,0.1742,0.0027,5.0
2008-06-10,47.5,8.099998,0.17,0.0026,5.0
2008-06-10,47.5,8.150002,0.166,0.0025,5.0
2008-06-10,47.5,8.200005,0.1619,0.0025,5.0
2008-06-10,47.5,8.25,0.1571,0.0025,5.0
2008-06-10,47.5,8.300003,0.1492,0.0024,5.0
2008-06-10,47.5,8.349998,0.1549,0.0025,5.0
2008-06-10,47.5,8.400002,0.162,0.0025,5.0
2008-06-10,47.5,8.450005,0.1667,0.0026,5.0
2008-06-10,47.5,8.5,0.1666,0.0027,5.0
2008-06-10,47.5,8.550003,0.1591,0.0026,5.0
2008-06-10,47.5,8.599998,0.1523,0.0025,5.0
2008-06-10,47.5,8.650002,0.1612,0.0026,5.0
2008-06-10,47.5,8.700005,0.1539,0.0025,5.0
2008-06-10,47.5,8.75,0.1538,0.0025,5.0
2008-06-10,47.5,8.800003,0.1595,0.0026,5.0
2008-06-10,47.5,8.849998,0.1604,0.0026,5.0
2008-06-10,47.5,8.900002,0.1666,0.0027,5.0
2008-06-10,47.5,8.950005,0.181,0.0029,5.0
2008-06-10,47.5,9.0,0.1825,0.0029,5.0
2008-06-10,47.5,9.050003,0.179,0.0029,5.0
2008-06-10,47.5,9.099998,0.188,0.0029,5.0
2008-06-10,47.5,9.150002,0.1893,0.0029,5.0
2008-06-10,47.5,9.200005,0.1883,0.0029,5.0
2008-06-10,47.5,9.25,0.1887,0.0029,5.0
2008-06-10,47.5,9.300003,0.1876,0.003,5.0
2008-06-10,47.5,9.349998,0.1778,0.0032,5.0
2008-06-10,47.5,9.400002,0.159,0.0044,5.0
2008-06-10,47.5,9.450005,0.0543,0.0176,7.0
2008-06-10,47.5,9.5,0.0448,0.0139,7.0
2008-06-10,47.5,9.550003,0.0488,0.0149,7.0
2008-06-10,47.5,9.599998,0.0628,0.0176,7.0
2008-06-10,47.5,9.650002,0.0967,0.0277,7.0
2008-06-10,47.5,9.700005,0.091,0.0345,7.0
2008-06-10,47.5,9.75,0.1226,0.0024,5.0
2008-06-10,47.5,9.800003,0.1237,0.0024,5.0
2008-06-10,47.5,9.849998,0.1487,0.0027,5.0
2008-06-10,47.5,9.900002,0.1653,0.0029,5.0
2008-06-10,47.5,9.950005,0.1413,0.0026,5.0
2008-06-10,47.450005,5.0,0.185,0.0031,5.0
2008-06-10,47.450005,5.050003,0.1908,0.0032,5.0
2008-06-10,47.450005,5.0999985,0.1918,0.0032,5.0
2008-06-10,47.450005,5.1500015,0.1866,0.0031,5.0
2008-06-10,47.450005,5.2000046,0.1815,0.003,5.0
2008-06-10,47.450005,5.25,0.1915,0.0031,5.0
2008-06-10,47.450005,5.300003,0.1866,0.003,5.0
2008-06-10,47.450005,5.3499985,0.188,0.003,5.0
2008-06-10,47.450005,5.4000015,0.1867,0.003,5.0
2008-06-10,47.450005,5.4500046,0.1786,0.0029,5.0
2008-06-10,47.450005,5.5,0.1748,0.0028,5.0
2008-06-10,47.450005,5.550003,0.177,0.0028,5.0
2008-06-10,47.450005,5.5999985,0.1748,0.0029,5.0
2008-06-10,47.450005,5.6500015,0.1789,0.0029,5.0
2008-06-10,47.450005,5.7000046,0.1892,0.0031,5.0
2008-06-10,47.450005,5.75,0.1913,0.0031,5.0
2008-06-10,47.450005,5.800003,0.187,0.003,5.0
2008-06-10,47.450005,5.8499985,0.1833,0.0031,5.0
2008-06-10,47.450005,5.9000015,0.1863,0.0031,5.0
2008-06-10,47.450005,5.9500046,0.1902,0.0031,5.0
