time,lat,lon,AL-BB-DH,AL-BB-DH-ERR,quality_flag
2014-06-10,47.5,5.0,0.2029,0.0035,5.0
2014-06-10,47.5,5.050003,0.2266,0.004,5.0
2014-06-10,47.5,5.0999985,0.2233,0.0038,5.0
2014-06-10,47.5,5.1500015,0.2249,0.0038,5.0
2014-06-10,47.5,5.2000046,0.2163,0.0036,5.0
2014-06-10,47.5,5.25,0.2046,0.0035,5.0
2014-06-10,47.5,5.300003,0.2079,0.0036,5.0
2014-06-10,47.5,5.3499985,0.2156,0.0037,5.0
2014-06-10,47.5,5.4000015,0.207,0.0035,5.0
2014-06-10,47.5,5.4500046,0.2055,0.0034,5.0
2014-06-10,47.5,5.5,0.2084,0.0034,5.0
2014-06-10,47.5,5.550003,0.1988,0.0033,5.0
2014-06-10,47.5,5.5999985,0.1975,0.0033,5.0
2014-06-10,47.5,5.6500015,0.1894,0.0032,5.0
2014-06-10,47.5,5.7000046,0.1902,0.0032,5.0
2014-06-10,47.5,5.75,0.1921,0.0032,5.0
2014-06-10,47.5,5.800003,0.1859,0.0031,5.0
2014-06-10,47.5,5.8499985,0.1965,0.0033,5.0
2014-06-10,47.5,5.9000015,0.1934,0.0033,5.0
2014-06-10,47.5,5.9500046,0.1909,0.0033,5.0
2014-06-10,47.5,6.0,0.1798,0.0032,5.0
2014-06-10,47.5,6.050003,0.1766,0.0031,5.0
2014-06-10,47.5,6.0999985,0.1774,0.0032,5.0
2014-06-10,47.5,6.1500015,0.1779,0.0032,5.0
2014-06-10,47.5,6.2000046,0.1878,0.0032,5.0
2014-06-10,47.5,6.25,0.1898,0.0033,5.0
2014-06-10,47.5,6.300003,0.1837,0.0031,5.0
2014-06-10,47.5,6.3499985,0.1835,0.0032,5.0
2014-06-10,47.5,6.4000015,0.1814,0.0032,5.0
2014-06-10,47.5,6.4500046,0.1822,0.0032,5.0
2014-06-10,47.5,6.5,0.1838,0.0031,5.0
2014-06-10,47.5,6.550003,0.1784,0.0031,5.0
2014-06-10,47.5,6.5999985,0.1745,0.0031,5.0
2014-06-10,47.5,6.6500015,0.1733,0.0031,5.0
