time,lat,lon,AL-BB-DH,AL-BB-DH-ERR,quality_flag
2004-06-10,47.5,5.0,0.195,0.0039,5.0
2004-06-10,47.5,5.050003,0.219,0.0044,5.0
2004-06-10,47.5,5.0999985,0.2102,0.0043,5.0
2004-06-10,47.5,5.1500015,0.2044,0.0041,5.0
2004-06-10,47.5,5.2000046,0.2031,0.004,5.0
2004-06-10,47.5,5.25,0.2002,0.0039,5.0
2004-06-10,47.5,5.300003,0.2001,0.0039,5.0
2004-06-10,47.5,5.3499985,0.2036,0.004,5.0
2004-06-10,47.5,5.4000015,0.1968,0.0038,5.0
2004-06-10,47.5,5.4500046,0.1903,0.0037,5.0
2004-06-10,47.5,5.5,0.1946,0.0038,5.0
2004-06-10,47.5,5.550003,0.1899,0.0037,5.0
2004-06-10,47.5,5.5999985,0.1986,0.0038,5.0
2004-06-10,47.5,5.6500015,0.1897,0.0037,5.0
2004-06-10,47.5,5.7000046,0.1867,0.0038,5.0
2004-06-10,47.5,5.75,0.1931,0.0039,5.0
2004-06-10,47.5,5.800003,0.1863,0.0037,5.0
2004-06-10,47.5,5.8499985,0.196,0.0039,5.0
2004-06-10,47.5,5.9000015,0.1896,0.0038,5.0
2004-06-10,47.5,5.9500046,0.1883,0.0036,5.0
2004-06-10,47.5,6.0,0.1799,0.0035,5.0
2004-06-10,47.5,6.050003,0.1751,0.0034,5.0
2004-06-10,47.5,6.0999985,0.1771,0.0034,5.0
2004-06-10,47.5,6.1500015,0.176,0.0034,5.0
2004-06-10,47.5,6.2000046,0.1853,0.0035,5.0
2004-06-10,47.5,6.25,0.1893,0.0036,5.0
2004-06-10,47.5,6.300003,0.1853,0.0036,5.0
2004-06-10,47.5,6.3499985,0.1864,0.0036,5.0
2004-06-10,47.5,6.4000015,0.1771,0.0036,5.0
2004-06-10,47.5,6.4500046,0.1758,0.0036,5.0
2004-06-10,47.5,6.5,0.1763,0.0037,5.0
2004-06-10,47.5,6.550003,0.173,0.0036,5.0
2004-06-10,47.5,6.5999985,0.1692,0.0036,5.0
