lat,lon
47.200005,8.099998
47.200005,8.349998
47.200005,8.599998
47.200005,8.849998
44.35,6.050003
44.35,6.300003
44.9,5.1500015
44.9,5.4000015
44.9,5.6500015
44.9,5.9000015
46.5,13.150002
46.5,13.400002
45.75,14.0
45.75,14.25
45.75,14.5
45.75,14.75
45.050003,8.200005
45.050003,8.450005
45.050003,8.700005
47.85,14.099998
47.85,14.349998
47.85,14.599998
47.85,14.849998
45.200005,9.050003
45.200005,9.300003
45.200005,9.550003
45.200005,9.800003
46.0,12.0
46.0,12.25
46.0,12.5
46.0,12.75
45.25,13.599998
45.25,13.849998
45.9,12.099998
45.9,12.349998
45.9,12.599998
45.9,12.849998
47.9,11.050003
47.9,11.550003
47.9,11.800003
44.4,6.050003
44.4,6.300003
44.4,6.550003
44.800003,14.400002
44.800003,14.900002
46.1,6.0999985
46.1,6.3499985
46.1,6.5999985
47.550003,5.0999985
47.550003,5.3499985
47.550003,5.5999985
47.550003,5.8499985
46.75,5.0999985
46.75,5.3499985
46.75,5.5999985
46.75,5.8499985
45.5,12.200005
45.85,9.0
45.85,9.25
45.85,9.5
45.85,9.75
47.450005,5.2000046
47.450005,5.4500046
47.450005,5.7000046
47.450005,5.9500046
45.0,11.050003
45.0,11.300003
45.0,11.550003
45.0,11.800003
44.950005,8.200005
46.550003,11.150002
46.550003,11.400002
46.550003,11.900002
47.65,11.150002
47.65,11.400002
47.65,11.650002
47.65,11.900002
45.800003,12.0
45.800003,12.25
45.800003,12.5
45.800003,12.75
45.950005,13.099998
45.950005,13.349998
45.950005,13.599998
45.950005,13.849998
44.450005,7.050003
44.450005,7.300003
44.450005,7.550003
44.450005,7.800003
46.050003,10.0
46.050003,10.25
47.5,6.050003
47.5,6.300003
47.5,6.550003
47.5,6.800003
47.15,10.0
46.050003,10.75
47.450005,8.099998
47.35,12.150002
47.35,12.400002
47.35,12.650002
47.35,12.900002
47.700005,10.099998
47.700005,10.349998
47.700005,10.599998
47.700005,10.849998
44.85,8.050003
44.85,8.300003
44.85,8.550003
44.85,8.800003
45.700005,12.200005
45.700005,12.450005
45.700005,12.700005
45.700005,12.950005
45.4,10.150002
45.4,10.400002
45.4,10.650002
45.4,10.900002
45.1,6.050003
45.1,6.800003
45.550003,10.200005
45.550003,10.450005
45.550003,10.700005
45.550003,10.950005
44.75,5.2000046
44.75,5.4500046
44.75,5.7000046
44.75,5.9500046
46.5,14.0
46.5,14.25
46.5,14.5
46.5,14.75
45.050003,9.550003
45.050003,9.800003
45.050003,9.050003
45.050003,9.300003
47.450005,7.1500015
48.0,13.200005
48.0,13.450005
48.0,13.700005
48.0,13.950005
47.450005,7.4000015
47.450005,7.6500015
47.450005,7.9000015
47.25,5.0
47.25,5.25
47.25,5.5
47.25,5.75
46.0,13.099998
46.0,13.349998
46.6,5.050003
46.6,5.300003
46.6,5.550003
46.6,5.800003
46.0,13.599998
46.0,13.849998
44.5,9.200005
45.450005,11.150002
45.450005,11.400002
45.450005,11.650002
45.450005,11.900002
47.950005,7.7000046
47.950005,7.9500046
47.950005,7.2000046
47.950005,7.4500046
45.5,13.550003
45.5,13.800003
45.85,10.099998
45.85,10.349998
45.85,10.599998
44.950005,9.050003
44.950005,9.300003
44.950005,9.550003
44.950005,9.800003
44.65,7.25
44.65,7.5
44.65,7.75
44.75,7.1500015
44.75,7.4000015
46.550003,12.5
46.550003,12.75
44.75,7.6500015
47.65,12.0
47.65,12.25
47.65,12.5
47.65,12.75
45.800003,13.099998
45.800003,13.349998
45.800003,13.599998
45.800003,13.849998
47.200005,8.150002
47.200005,8.400002
47.200005,8.650002
47.200005,8.900002
46.050003,11.099998
46.050003,11.349998
46.050003,11.599998
46.050003,11.849998
45.15,5.2000046
45.15,5.4500046
45.15,5.7000046
45.15,5.9500046
47.85,14.150002
47.85,14.400002
47.85,14.650002
47.85,14.900002
45.25,13.650002
45.25,13.900002
45.9,12.150002
45.9,12.400002
45.9,12.650002
47.35,13.0
47.35,13.25
47.35,13.5
45.9,12.900002
45.6,8.050003
45.6,8.300003
45.6,8.550003
45.6,8.800003
45.4,11.0
45.4,11.25
45.4,11.5
45.4,11.75
47.4,10.200005
47.4,10.700005
45.550003,11.050003
45.550003,11.300003
45.550003,11.550003
45.550003,11.800003
47.75,7.0
47.75,7.25
47.75,7.5
47.75,7.75
48.0,14.050003
48.0,14.300003
48.0,14.550003
48.0,14.800003
44.800003,5.1500015
44.800003,5.4000015
44.800003,5.6500015
44.800003,5.9000015
46.35,5.2000046
46.35,5.4500046
46.35,5.7000046
46.35,5.9500046
46.9,9.599998
45.35,8.150002
45.35,8.400002
45.35,8.650002
45.35,8.900002
45.950005,13.150002
45.950005,13.400002
45.950005,13.650002
45.950005,13.900002
45.15,9.200005
45.15,9.450005
45.15,9.700005
45.15,9.950005
47.050003,14.700005
47.050003,14.950005
47.050003,14.200005
47.050003,14.450005
45.450005,12.0
45.450005,12.25
45.5,6.0
45.5,6.25
45.5,6.5
47.700005,10.150002
47.700005,10.400002
47.700005,10.650002
47.700005,10.900002
47.800003,5.0
47.800003,5.25
47.800003,5.5
47.800003,5.75
44.65,8.099998
44.65,8.349998
46.550003,13.099998
46.550003,13.349998
46.550003,13.599998
47.65,13.349998
47.65,13.599998
47.65,13.849998
46.550003,13.849998
45.65,7.7000046
45.65,7.9500046
46.15,7.050003
47.200005,9.0
47.200005,9.25
47.200005,9.5
47.200005,9.75
46.35,7.6500015
46.35,7.9000015
45.200005,10.200005
45.200005,10.450005
45.200005,10.700005
45.200005,10.950005
44.4,5.1500015
44.4,5.4000015
44.4,5.6500015
44.5,5.050003
46.0,13.150002
46.0,13.400002
46.0,13.650002
46.0,13.900002
44.5,5.300003
45.25,14.0
45.25,14.25
45.25,14.75
44.5,5.550003
45.9,13.0
45.9,13.25
45.9,13.5
45.9,13.75
47.9,12.200005
47.9,12.700005
47.9,12.950005
45.4,12.099998
45.4,12.349998
47.4,11.050003
47.4,11.300003
47.4,11.550003
47.4,11.800003
47.1,9.349998
47.1,9.599998
44.700005,9.099998
44.700005,9.349998
44.700005,9.599998
44.700005,9.849998
47.75,8.099998
47.75,8.349998
47.75,8.599998
47.75,8.849998
46.85,7.2000046
46.85,7.4500046
46.85,7.7000046
46.85,7.9500046
46.200005,8.300003
46.200005,8.550003
46.200005,8.800003
44.300003,14.650002
44.9,5.2000046
44.9,5.4500046
44.9,5.7000046
45.85,10.150002
45.85,10.400002
45.85,10.650002
45.85,10.900002
44.9,5.9500046
47.050003,5.0999985
47.050003,5.3499985
47.050003,5.5999985
47.050003,5.8499985
45.0,12.200005
47.5,5.1500015
47.5,5.4000015
47.5,5.6500015
47.5,5.9000015
45.800003,13.150002
45.800003,13.400002
45.800003,13.650002
45.800003,13.900002
45.65,11.200005
45.950005,14.0
45.950005,14.25
45.950005,14.5
45.950005,14.75
44.450005,8.200005
44.450005,8.450005
44.450005,8.700005
44.450005,8.950005
46.050003,11.150002
46.050003,11.400002
46.050003,11.650002
47.15,11.400002
46.050003,11.900002
45.15,10.050003
45.15,10.300003
45.15,10.550003
45.15,10.800003
45.450005,13.599998
45.450005,13.849998
47.700005,11.0
47.700005,11.25
47.700005,11.5
47.700005,11.75
44.950005,6.7000046
44.950005,6.9500046
44.85,9.200005
44.85,9.450005
44.85,9.700005
44.85,9.950005
47.950005,7.0999985
47.200005,10.599998
44.35,8.050003
44.35,8.300003
44.35,8.550003
44.9,7.1500015
44.9,7.4000015
44.9,7.6500015
44.9,7.9000015
45.050003,10.200005
45.050003,10.450005
45.050003,10.700005
45.050003,10.950005
45.200005,11.050003
45.200005,11.300003
45.200005,11.550003
45.200005,11.800003
46.0,14.0
46.0,14.25
46.0,14.5
46.0,14.75
45.9,14.099998
45.9,14.349998
45.9,14.599998
45.9,14.849998
47.9,13.050003
47.9,13.300003
47.9,13.800003
47.6,11.099998
47.6,11.349998
47.6,11.599998
47.6,11.849998
46.1,5.050003
46.1,5.300003
46.1,5.550003
46.1,5.800003
46.700005,10.550003
46.4,8.75
47.550003,7.0999985
45.5,14.200005
45.5,14.450005
45.5,14.700005
47.550003,7.3499985
47.550003,7.5999985
47.550003,7.8499985
45.5,14.950005
45.85,11.0
45.85,11.25
45.85,11.5
45.85,11.75
47.450005,7.2000046
47.450005,7.4500046
47.450005,7.7000046
47.450005,7.9500046
44.950005,10.200005
44.950005,10.450005
44.950005,10.700005
44.950005,10.950005
45.0,13.800003
46.550003,13.150002
46.550003,13.400002
46.550003,13.650002
47.65,13.150002
47.65,13.400002
47.65,13.650002
45.800003,14.0
45.800003,14.25
47.65,13.900002
46.550003,13.900002
45.800003,14.5
47.800003,13.200005
47.800003,13.450005
47.800003,13.700005
45.800003,14.75
44.450005,9.050003
44.450005,9.300003
44.450005,9.550003
44.450005,9.800003
46.050003,12.0
46.050003,12.25
46.050003,12.5
46.050003,12.75
47.300003,12.550003
47.300003,12.800003
45.75,6.1500015
45.75,6.4000015
45.6,9.200005
47.700005,12.099998
47.700005,12.349998
47.700005,12.599998
47.700005,12.849998
45.6,9.450005
44.85,10.050003
44.85,10.300003
44.85,10.550003
44.85,10.800003
45.4,12.150002
47.1,9.400002
45.1,8.050003
45.550003,12.200005
45.550003,12.450005
45.550003,12.700005
45.1,8.300003
45.1,8.550003
45.1,8.800003
47.75,8.150002
47.75,8.400002
47.75,8.650002
47.75,8.900002
45.050003,11.050003
45.050003,11.300003
45.050003,11.550003
45.050003,11.800003
47.25,7.0
47.25,7.25
47.25,7.5
47.25,7.75
46.6,7.300003
46.6,7.550003
46.6,7.050003
47.9,6.0
47.9,6.25
47.9,6.5
47.9,6.75
45.5,5.3499985
45.5,5.5999985
45.5,5.0999985
45.5,5.8499985
46.4,9.099998
46.4,9.349998
45.450005,13.650002
45.450005,13.900002
45.85,12.099998
45.85,12.349998
45.85,12.599998
45.85,12.849998
45.0,6.5
45.0,6.75
44.950005,11.050003
44.950005,11.300003
44.950005,11.550003
44.950005,11.800003
44.65,9.0
